method,inner_lr,inner_steps,AUROC_mean,AUROC_std,LogLoss,NDCG10,ECE,collapse_rate
zero_shot,0.01,1,0.6338,0.1985,2.0603,0.7888,0.5855,0.0
zero_shot,0.01,3,0.6338,0.1985,2.0603,0.7888,0.5855,0.0
zero_shot,0.01,5,0.6338,0.1985,2.0603,0.7888,0.5855,0.0
finetune,0.01,1,0.5033,0.0331,8.1115,0.6989,0.4671,0.9
finetune,0.01,3,0.5033,0.0331,8.1115,0.6989,0.4671,0.9
finetune,0.01,5,0.5033,0.0331,8.1115,0.6989,0.4671,0.9
anil,0.01,1,0.4142,0.1734,0.881,0.5751,0.3471,0.0
anil,0.01,3,0.5205,0.2022,0.8565,0.6434,0.3372,0.0
anil,0.01,5,0.5418,0.2012,0.8546,0.6475,0.3336,0.0
fomaml,0.01,1,0.4777,0.0906,1.1693,0.6724,0.2195,1.0
fomaml,0.01,3,0.4899,0.0254,0.6444,0.6924,0.1226,1.0
fomaml,0.01,5,0.5025,0.0319,0.6394,0.7187,0.1147,1.0
maml,0.01,1,0.4676,0.1938,2.4123,0.7116,0.3503,0.8
maml,0.01,3,0.4107,0.1658,1.4046,0.6865,0.3201,0.35
maml,0.01,5,0.5439,0.1482,1.3681,0.678,0.3121,0.95
