lf_name,j,Polarity,Coverage,Overlaps,Conflicts,group
lf_global_expired_contract,0,[],0.0,0.0,0.0,global_lifecycle
lf_global_near_expiry_contract,1,[],0.0,0.0,0.0,global_lifecycle
lf_global_old_perpetual_contract,2,[np.int64(1)],0.24703836539506574,0.2349744592979024,0.017389414194109335,global_lifecycle
lf_global_old_contract,3,[np.int64(1)],0.15411368329529399,0.15411368329529399,0.009564177806760134,global_lifecycle
lf_global_expiry_pressure_bucket,4,[],0.0,0.0,0.0,global_lifecycle
lf_global_financial_severe_stress,5,[np.int64(1)],0.03640908596891642,0.03640908596891642,0.0011955222258450168,global_financial
lf_global_financial_multiple_stress,6,[np.int64(1)],0.10987936093902836,0.10987936093902836,0.0013042060645582002,global_financial
lf_global_financial_rating_weak,7,[np.int64(1)],0.19628301271600912,0.19617432887729594,0.03488751222693186,global_financial
lf_global_financial_do_not_source,8,[np.int64(1)],0.02532333442017172,0.02532333442017172,0.0011955222258450168,global_financial
lf_global_financial_liquidity_stress,9,[np.int64(1)],0.017824149548962068,0.017824149548962068,0.001847625258124117,global_financial
lf_global_financial_profitability_stress,10,[np.int64(1)],0.01586784045212477,0.01586784045212477,0.0011955222258450168,global_financial
lf_global_financial_low_solvency,11,[np.int64(1)],0.01586784045212477,0.01586784045212477,0.0011955222258450168,global_financial
lf_global_financial_no_signal_strong_liquidity,12,[np.int64(0)],0.05260297793718074,0.05260297793718074,0.05260297793718074,global_financial
lf_global_esg_very_low_overall,13,[],0.0,0.0,0.0,global_esg
lf_global_esg_low_industry_adjusted,14,[np.int64(1)],0.035648299097924135,0.035648299097924135,0.005434191935659168,global_esg
lf_global_esg_low_env_or_social,15,[np.int64(1)],0.06108031735680904,0.06108031735680904,0.014454950548853386,global_esg
lf_global_esg_low_governance,16,[np.int64(1)],0.0019563090968373,0.0019563090968373,0.00010868383871318335,global_esg
lf_global_news_high_relevance_negative,17,[np.int64(1)],0.01978045864579937,0.01978045864579937,0.00010868383871318335,global_news
lf_global_news_negative_ratio_high,18,[np.int64(1)],0.007281817193783284,0.007173133355070101,0.0,global_news
lf_global_news_many_articles_and_negative,19,[np.int64(1)],0.0059776111292250845,0.0059776111292250845,0.0,global_news
lf_global_news_positive_low_risk,20,[np.int64(0)],0.027497011194435386,0.027062275839582654,0.027062275839582654,global_news
lf_global_market_high_stress,21,[np.int64(1)],0.007281817193783284,0.006955765677643735,0.0008694707097054668,global_market
lf_global_market_negative_eps,22,[np.int64(1)],0.0004347353548527334,0.0004347353548527334,0.0,global_market
lf_global_market_negative_price_trend,23,[np.int64(1)],0.003803934354961417,0.003803934354961417,0.0010868383871318334,global_market
lf_global_market_public_stress,24,[],0.0,0.0,0.0,global_market
lf_global_many_contracts_same_supplier,25,[np.int64(1)],0.7282904032170416,0.5918921856319965,0.06542767090533638,global_supplier_macro
lf_global_missing_environmental_appendix,26,[],0.0,0.0,0.0,global_supplier_macro
lf_global_open_ended_and_old_and_many_contracts,27,[np.int64(1)],0.1860667318769699,0.1860667318769699,0.014563634387566568,global_supplier_macro
lf_global_low_lpi,28,[],0.0,0.0,0.0,global_supplier_macro
lf_global_high_ppi_pressure,29,[np.int64(1)],0.6801434626671014,0.6287360069557657,0.0751005325508097,global_supplier_macro
lf_logistics_expired_or_near_expiry,30,[],0.0,0.0,0.0,logistics_specific
lf_logistics_old_perpetual_contract,31,[np.int64(1)],0.006086294967938268,0.006086294967938268,0.00032605151613955004,logistics_specific
lf_logistics_low_lpi,32,[],0.0,0.0,0.0,logistics_specific
lf_logistics_term_misalignment_payment_terms,33,[np.int64(1)],0.013585479839147919,0.013585479839147919,0.00032605151613955004,logistics_specific
lf_logistics_term_misalignment_incoterms,34,[np.int64(1)],0.009998913161612869,0.009890229322899685,0.0006521030322791001,logistics_specific
lf_logistics_supplier_fragmentation,35,[np.int64(1)],0.02336702532333442,0.02336702532333442,0.001521573741984567,logistics_specific
lf_logistics_cost_driver_shift,36,[np.int64(1)],0.023149657645908053,0.023149657645908053,0.0019563090968373,logistics_specific
lf_logistics_capacity_or_scope_proxy,37,[np.int64(1)],0.02988805564612542,0.029779371807412237,0.001847625258124117,logistics_specific
lf_logistics_outdated_contract_proxy,38,[np.int64(1)],0.016302575806977502,0.016302575806977502,0.0011955222258450168,logistics_specific
